Epochs,Training,Train Loss,Val Loss,Train Accuracy,Val Accuracy
1,2,1.3452,1.4222,34.84%,24.24%
2,4,1.2384,1.4733,42.96%,23.46%
3,6,1.1792,1.4765,48.30%,26.91%
4,8,1.1278,1.499,51.05%,26.35%
5,10,1.0767,1.5087,53.97%,27.39%
6,12,1.0401,1.445,56.54%,32.03%
7,14,1.0162,1.4615,58.38%,31.18%
8,16,0.9754,1.4475,60.77%,32.53%
9,18,0.9505,1.4181,62.10%,33.83%
10,20,0.9264,1.3558,63.36%,37.59%
11,22,0.9031,1.3398,64.27%,38.95%
12,24,0.8781,1.327,65.41%,39.71%
13,26,0.858,1.3157,66.58%,40.49%
14,28,0.8405,1.2645,67.62%,42.69%
15,30,0.8144,1.2105,68.34%,45.12%
16,32,0.7983,1.2476,69.32%,43.86%
17,34,0.7778,1.1892,70.46%,46.53%
18,36,0.7611,1.1615,71.30%,47.74%
19,38,0.7512,1.1479,71.53%,48.74%
20,40,0.7337,1.125,72.41%,50.54%
21,42,0.7202,1.0967,73.25%,51.69%
22,44,0.6962,1.0906,74.06%,52.13%
23,46,0.6873,1.0456,74.87%,54.64%
24,48,0.6765,1.0224,74.96%,56.71%
25,50,0.6534,0.9715,76.86%,59.83%
26,52,0.6491,0.9654,76.47%,58.64%
27,54,0.6322,0.9495,76.89%,60.89%
28,56,0.6225,0.9474,77.52%,60.37%
29,58,0.5949,0.9056,79.28%,63.11%
30,60,0.5922,0.9253,78.99%,61.78%
31,62,0.5771,0.8645,79.63%,64.54%
32,64,0.5606,0.8169,80.25%,67.73%
33,66,0.5549,0.8465,80.21%,65.93%
34,68,0.5428,0.8154,81.08%,66.95%
35,70,0.5268,0.8129,81.78%,67.45%
36,72,0.5224,0.7781,82.10%,68.84%
37,74,0.5126,0.7571,82.77%,69.99%
38,76,0.5023,0.7421,82.99%,70.57%
39,78,0.498,0.7187,82.23%,72.09%
40,80,0.4871,0.6955,83.42%,72.85%
41,82,0.4697,0.7059,84.24%,71.77%
42,84,0.4578,0.6662,84.62%,74.13%
43,86,0.4527,0.6477,84.59%,75.80%
44,88,0.4464,0.6559,84.82%,74.24%
45,90,0.4384,0.6436,85.24%,75.54%
46,92,0.4293,0.6321,85.53%,76.15%
47,94,0.422,0.5981,86.05%,78.21%
48,96,0.4204,0.6384,85.67%,75.80%
49,98,0.4067,0.6028,86.18%,77.84%
50,100,0.3935,0.6124,87.11%,77.11%
